County,Municipality,Any Locations Found?,URL,Location Type,Location Name,Voting Dates and Times,Address Line 1,Address Line 2,City,State,Zip,Special Rules and Instructions,Questions / Notes,Did we Google?,Who called?,Call results,Edits to make,Implemented Edits?
Seminole,Seminole,Yes,https://www.voteseminole.org/2020-general-election-drop-box-locations,clerk,Supervisor of Elections Office,"11/2 - open until 6pm
11/3 - 7am - 7pm",1500 E Airport Blvd,,Sanford,FL,32773,Ballot box is right in the front of the lobby,,X,Ping,Edited,"Spoke with a human: The Supervisor of Elections office is open unitl 6 pm today, and open 7 am to 7 pm tomorrow.  When you walk into the lobby, the ballot box is right there.  Address is correct.",Yes
St. Johns,St. Johns,Yes,https://www.votesjc.com/Returning-Your-Ballot,dropbox,Supervisor of Elections Office,Drop off 11/2 until 5pm inside the office or 7pm at the outside dropbox,4455 Ave A #101,,St. Augustine,FL,32095,Ballot may also be hand-delivered inside the office during office hours,,X,Ping,Edited,"Spoke with a human: Voters can NOT drop off ballots on Election Day.  They can only drop them off today—until 5 pm at the inside dropbox (inside the office), or until 7 pm at the outside dropbox (in front of the building).  Address is correct.",Yes
St. Lucie,St. Lucie,,https://www.slcelections.com/m/Early-Voting,dropbox,"Supervisor of Elections Office - Orange Blossom
Business Center Curbside Ballot Drop Off","24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)", 4132 Okeechobee Rd.,,Port St. Lucie,,34947,"PHONE: (772) 462-1500
FAX: (772) 462-1439 ",,X,Ping,Confirmed,,
St. Lucie,St. Lucie,,https://www.slcelections.com/m/Early-Voting,dropbox,"Supervisor of Elections Office - St. Lucie West
South County Annex Curbside Ballot Drop Off","24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)", 250 NW Country Club Dr.,,Port St. Lucie,,34986,"PHONE: (772) 871-5410
FAX: (772) 871-5323",,X,Ping,Confirmed,,
St. Lucie,St. Lucie,,https://www.slcelections.com/m/Early-Voting,dropbox,"Supervisor of Elections Office - Walton Rd County
Administration Annex Curbside Ballot Drop Off","24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)", 1664 SE Walton Rd.,,Port St. Lucie,,34952,"PHONE: (772) 337-5623
FAX: (772) 337-5626",,X,Ping,Confirmed,,
St. Lucie,St. Lucie,Yes,https://www.slcelections.com/m/Early-Voting,dropbox,Supervisor of Elections Office - Tradition Curbside Ballot Drop Off,"24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)", 10264 SW Village Parkway,,Port St. Lucie,,34987,"Located inside the
Tax Collectors office",,X,Ping,Confirmed,,
Sumter,Sumter,Yes,https://www.sumterelections.org/Ways-to-Vote/Vote-By-Mail-Information,clerk,Sumter County Supervisor of Elections Main Office,11/2 and 11/3: 8am to 5pm,7375 Powell Road,Suite #125,Wildwood,,34785,Located inside the office,,X,Ping,Edited,Spoke with a human: Hours at 7375 Powell are 8 am to 5 pm today and tomorrow.  The dropbox is located inside the office.,Yes
Sumter,Sumter,Yes,https://www.sumterelections.org/Ways-to-Vote/Vote-By-Mail-Information,clerk,Sumter County Supervisor of Elections Annex Office,"11/2: 8:00 am - 5:00 pm
11/3: 8:00 am - 7:00 pm",316 E. Anderson Ave.,,Bushnell,,33513,Located inside the office,,X,Ping,Edited,Spoke with a human: Hours at 316 E Anderson are 8 am to 5 pm today and until 7 pm tomorrow.  The dropbox is located inside the office.,Yes
Suwannee,Suwannee,Yes,https://www.suwanneevotes.com/Voting-Methods/Vote-by-Mail,clerk,Suwannee County Supervisor of Elections Office,24 x 7 until 7pm on Election Day,302 Pine Ave SW,,Live Oak,,32064,,,X,Ping,Confirmed,Spoke with a human: Dropbox is available any time until 7 pm tomorrow.  Address is correct.,
Taylor,Taylor,Yes,https://www.taylorelections.com/m/Vote-By-Mail-Information/Notice-to-Voters-Voting-by-Mail,dropbox,Taylor County SOE Office,"24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)",433 US-19,,Perry,FL,32347,The secure drop box is located right outside the main office door. You may also hand-deliver your ballot inside the office during normal business hours.,,y,Ping,Confirmed,,
Union,Union,Yes,https://www.unionflvotes.com/Contact-Us,dropbox,Union County Supervisor of Elections Office,24 x 7 until 7pm on Election Day,175 W Main St,,Lake Butler,FL,32054,,,y,Ping,Edited,Outside dropbox is available 24/7 until 7 pm tomorrow.  Address is correct.,Yes
Volusia,Volusia,Yes,http://www.volusiaelections.org/DepartmentElections/department.htm,dropbox,Volusia County Supervisor of Elections Office,24 x 7 until 7pm on Election Day,1750 S. Woodland Boulevard,,DeLand,,32720,,,y,Ping,Edited,Outside dropbox is available 24/7 until 7 pm tomorrow.  Address is correct.,Yes
Wakulla,Wakulla,Yes,https://www.wakullaelection.com/Contact-Us,clerk,Wakulla County Supervisor of Elections Office,"Monday-Friday: 8:00am - 5:00pm

Election Day (Tue, Nov 3): 8:00am - 7:00pm",3115 B Crawfordville Hwy,,Crawfordville,,32327,,,y,Brenna,Confirmed,They also have a 24/7 dropbox attached to their building,
Wakulla,,,,dropbox,Wakulla County Supervisor of Elections Office Dropbox,24 x 7 until 7pm on Election Day,3115 B Crawfordville Hwy,,Crawfordville,,32327,,,y,Brenna,Added,,Yes
Walton,Walton,Yes,https://www.votewalton.com/Voting/Ways-to-Vote/Ballot-Drop-Boxes,dropbox,Walton County Courthouse Drop Box,"24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)",571 US Hwy 90 East,Suite 102,DeFuniak Springs,,32433,"The drop box is located outside the building to the left of the main entrance doors that face 5th Street. It is available 24 hours per day, 7 days per week, and is under video surveillance. It is labeled ""Elections Office"" and has our seal on the front. 

Ballots may also be delivered inside the office.",Reached out to confirm deadline on drop box,y,Brenna,Confirmed,Open today until 4:00 pm but the drop boxes are 24/7,
Walton,Walton,Yes,https://www.votewalton.com/Voting/Ways-to-Vote/Ballot-Drop-Boxes,dropbox,Waton County Courthouse Annex Drop Box,"24/7 Until 7:00 PM on Tue, Nov 3 (Election Day)",31 Coastal Centre Blvd,Suite 300,Santa Rosa Beach,,32433,"The drop box is located outside the building to the right of the main entrance doors that face the parking lot. It is available 24 hours per day, 7 days per week, and is under video surveillance. It is labeled ""Elections Office"" and has our seal on the front. 

Ballots may also be delivered inside the office.",Reached out to confirm deadline on drop box,y,Brenna,Confirmed,Open today until 4:00 pm but the drop boxes are 24/7,
Washington,Washington,Yes,https://www.wcsoe.org/Voter-Information/-Vote-By-Mail-Information,clerk,Washington County Supervisor of Elections Office,"8am - 4pm Daily

Election Day (Tue Nov 3): 8am - 7pm",1331 South Blvd., Suite 900,Chipley,FL,32428,Lobby is open. Only 2 people are allowed to enter at a time.,,y,Brenna,Confirmed,,
Washington,Washington,Yes,https://www.wcsoe.org/Voter-Information/-Vote-By-Mail-Information,dropbox,Washington County Supervisor of Elections Dropbox,24 x 7 until 7pm on Election Day,1331 South Blvd., Suite 900,Chipley,FL,32428,Outside the office,,,Brenna,Added,,Yes
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Scoreboard,,,,,,,,,,,,,,
,,,,Not Called,3,,,,,,,,,,,,,
,,,,Edited,31,,,,,,,,,,,,,
,,,,Confirmed,70,,,,,,,,,,,,,
,,,,Added,7,,,,,,,,,,,,,
